filename,NOSE_x,NOSE_yNOSE_score,LEFT_EYE_x,LEFT_EYE_yLEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_yRIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_yLEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_yRIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_yLEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_yRIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_yLEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_yRIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_yLEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_yRIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_yLEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_yRIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_yLEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_yRIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_yLEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_yRIGHT_ANKLE_score,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,pose_no,pose_name
"hip/tf.Tensor(
[[[231 233 232]
  [238 240 239]
  [239 241 240]
  ...
  [253 252 248]
  [253 252 248]
  [253 252 248]]

 [[236 238 237]
  [235 237 236]
  [235 237 236]
  ...
  [253 252 248]
  [253 252 248]
  [253 252 248]]

 [[240 242 241]
  [234 236 235]
  [233 235 234]
  ...
  [253 252 248]
  [253 252 248]
  [253 252 248]]

 ...

 [[188 193 196]
  [188 193 196]
  [188 193 196]
  ...
  [155 151 139]
  [162 156 142]
  [169 163 149]]

 [[188 193 196]
  [188 193 196]
  [188 193 196]
  ...
  [156 152 141]
  [156 152 141]
  [160 156 144]]

 [[188 193 196]
  [188 193 196]
  [188 193 196]
  ...
  [161 157 148]
  [155 151 140]
  [155 151 140]]], shape=(1280, 720, 3), dtype=uint8)",353.0,329.0,0.7568188,360.0,311.0,0.5233847,328.0,312.0,0.7492224,360.0,326.0,0.64860356,297.0,326.0,0.76921207,405.0,420.0,0.85538995,241.0,414.0,0.7782368,469.0,519.0,0.81006837,138.0,516.0,0.72455347,402.0,605.0,0.613804,245.0,597.0,0.65896785,374.0,656.0,0.8209597,285.0,652.0,0.8450361,371.0,875.0,0.7036427,271.0,885.0,0.819309,367.0,1067.0,0.76758134,253.0,1116.0,0.7198278,0,hip
"hip/tf.Tensor(
[[[235 237 236]
  [236 238 237]
  [239 241 240]
  ...
  [254 254 246]
  [254 254 246]
  [254 254 246]]

 [[237 239 238]
  [237 239 238]
  [238 240 239]
  ...
  [254 254 246]
  [254 254 246]
  [254 254 246]]

 [[239 241 240]
  [238 240 239]
  [237 239 238]
  ...
  [254 254 246]
  [254 254 246]
  [254 254 246]]

 ...

 [[189 194 197]
  [189 194 197]
  [189 194 197]
  ...
  [155 151 139]
  [162 156 142]
  [169 163 149]]

 [[189 194 197]
  [189 194 197]
  [189 194 197]
  ...
  [156 152 141]
  [156 152 141]
  [160 156 144]]

 [[189 194 197]
  [189 194 197]
  [189 194 197]
  ...
  [161 157 148]
  [155 151 140]
  [155 151 140]]], shape=(1280, 720, 3), dtype=uint8)",352.0,327.0,0.74350446,360.0,310.0,0.5210121,328.0,310.0,0.76801705,361.0,325.0,0.6744241,297.0,326.0,0.76704454,405.0,420.0,0.8568343,241.0,413.0,0.76763225,469.0,518.0,0.8161591,139.0,515.0,0.7298831,402.0,604.0,0.60270596,244.0,597.0,0.66462743,375.0,656.0,0.8260157,286.0,652.0,0.84727436,372.0,875.0,0.70634997,271.0,885.0,0.82177866,367.0,1067.0,0.7660304,253.0,1116.0,0.7225419,0,hip
"hip/tf.Tensor(
[[[238 242 241]
  [238 242 241]
  [238 242 241]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 [[237 241 240]
  [237 241 240]
  [237 241 240]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 [[238 242 241]
  [238 242 241]
  [238 242 241]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 ...

 [[191 196 199]
  [191 196 199]
  [190 195 198]
  ...
  [155 151 139]
  [160 157 142]
  [167 164 149]]

 [[191 196 199]
  [191 196 199]
  [190 195 198]
  ...
  [155 153 141]
  [156 152 141]
  [160 156 144]]

 [[191 196 199]
  [191 196 199]
  [190 195 198]
  ...
  [160 157 148]
  [155 151 140]
  [155 151 140]]], shape=(1280, 720, 3), dtype=uint8)",345.0,327.0,0.6973834,356.0,310.0,0.7275082,324.0,309.0,0.6194678,364.0,326.0,0.7432835,295.0,326.0,0.7821678,402.0,419.0,0.8197284,241.0,413.0,0.7704533,471.0,517.0,0.70726573,134.0,519.0,0.82257235,402.0,604.0,0.6297634,244.0,596.0,0.5570228,377.0,657.0,0.82533485,286.0,652.0,0.8430223,371.0,873.0,0.74313295,269.0,883.0,0.8191496,367.0,1066.0,0.77759516,253.0,1119.0,0.6717479,0,hip
"hip/tf.Tensor(
[[[238 242 245]
  [238 242 245]
  [238 242 245]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 [[238 242 245]
  [238 242 245]
  [238 242 245]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 [[238 242 245]
  [238 242 245]
  [238 242 245]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 ...

 [[187 197 196]
  [186 196 195]
  [186 196 195]
  ...
  [158 151 141]
  [167 158 149]
  [173 163 154]]

 [[187 197 196]
  [186 196 195]
  [186 196 195]
  ...
  [159 152 144]
  [159 150 141]
  [162 153 144]]

 [[187 197 196]
  [186 196 195]
  [186 196 195]
  ...
  [164 157 149]
  [156 147 138]
  [156 147 138]]], shape=(1280, 720, 3), dtype=uint8)",361.0,337.0,0.6091872,367.0,317.0,0.5464978,341.0,316.0,0.5013538,357.0,326.0,0.5066962,299.0,325.0,0.5724114,407.0,428.0,0.8347577,236.0,410.0,0.82694966,444.0,540.0,0.3443569,137.0,511.0,0.75091106,396.0,596.0,0.6002631,240.0,587.0,0.68886864,375.0,656.0,0.8473984,287.0,648.0,0.8450936,364.0,870.0,0.60860413,270.0,884.0,0.78808457,369.0,1063.0,0.7834833,254.0,1119.0,0.86222816,0,hip
"hip/tf.Tensor(
[[[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 ...

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 150 136]
  [161 155 141]
  [168 162 146]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 153 138]
  [156 150 136]
  [160 154 138]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [162 159 144]
  [157 151 137]
  [156 150 134]]], shape=(1280, 720, 3), dtype=uint8)",307.0,357.0,0.5672462,321.0,346.0,0.69359326,291.0,348.0,0.7446001,345.0,357.0,0.63281995,282.0,367.0,0.6001463,398.0,426.0,0.5717459,263.0,437.0,0.73629224,500.0,524.0,0.8395804,192.0,534.0,0.8350147,417.0,593.0,0.61264706,221.0,564.0,0.25881982,370.0,655.0,0.8063555,281.0,655.0,0.82451224,374.0,867.0,0.7364363,275.0,863.0,0.8470075,385.0,1072.0,0.80746424,270.0,1043.0,0.8531769,0,hip
"hip/tf.Tensor(
[[[235 239 238]
  [235 239 238]
  [235 239 238]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 238]
  [235 239 238]
  [235 239 238]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 238]
  [235 239 238]
  [235 239 238]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 ...

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 150 136]
  [161 155 141]
  [168 162 146]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 153 138]
  [156 150 136]
  [160 154 138]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [162 159 144]
  [157 151 137]
  [156 150 134]]], shape=(1280, 720, 3), dtype=uint8)",307.0,357.0,0.56027234,321.0,346.0,0.6858338,290.0,348.0,0.74796593,345.0,357.0,0.61814487,283.0,367.0,0.60751367,398.0,425.0,0.5699106,263.0,437.0,0.72522485,500.0,524.0,0.84434146,192.0,534.0,0.83618486,417.0,594.0,0.6189145,220.0,564.0,0.2591329,370.0,655.0,0.80694675,281.0,655.0,0.8243161,374.0,867.0,0.7368834,275.0,863.0,0.84736484,385.0,1071.0,0.80752,270.0,1043.0,0.8561001,0,hip
"hip/tf.Tensor(
[[[235 239 238]
  [235 239 238]
  [235 239 238]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 238]
  [235 239 238]
  [235 239 238]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 238]
  [235 239 238]
  [235 239 238]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 ...

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 150 136]
  [161 155 141]
  [168 162 146]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 153 138]
  [156 150 136]
  [160 154 138]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [162 159 144]
  [157 151 137]
  [156 150 134]]], shape=(1280, 720, 3), dtype=uint8)",307.0,358.0,0.5615492,321.0,346.0,0.68873465,290.0,349.0,0.7561553,345.0,356.0,0.61473995,283.0,367.0,0.6215277,398.0,425.0,0.57145786,264.0,436.0,0.71367526,500.0,524.0,0.8438777,193.0,533.0,0.83194315,417.0,594.0,0.613593,220.0,564.0,0.2621621,369.0,655.0,0.81071585,281.0,654.0,0.82247275,374.0,867.0,0.7314093,275.0,863.0,0.84777987,385.0,1071.0,0.8062269,270.0,1043.0,0.8542387,0,hip
"hip/tf.Tensor(
[[[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 [[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 240]
  [253 254 240]
  [253 254 240]]

 ...

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 150 136]
  [161 155 141]
  [168 162 146]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 153 138]
  [156 150 136]
  [160 154 138]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [162 159 144]
  [157 151 137]
  [156 150 134]]], shape=(1280, 720, 3), dtype=uint8)",305.0,359.0,0.53265643,319.0,345.0,0.62689626,289.0,349.0,0.7689604,348.0,353.0,0.78103787,285.0,367.0,0.63668597,399.0,425.0,0.60254854,266.0,434.0,0.7903795,501.0,525.0,0.8433681,194.0,533.0,0.8407328,418.0,598.0,0.6395811,220.0,564.0,0.26491746,369.0,657.0,0.7949656,281.0,657.0,0.82653487,375.0,868.0,0.72965324,275.0,862.0,0.8570328,385.0,1072.0,0.80673444,270.0,1044.0,0.8480134,0,hip
"hip/tf.Tensor(
[[[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 238]
  [253 254 238]
  [253 254 238]]

 [[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 238]
  [253 254 238]
  [253 254 238]]

 [[235 239 242]
  [235 239 242]
  [235 239 242]
  ...
  [253 254 238]
  [253 254 238]
  [253 254 238]]

 ...

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 150 136]
  [161 155 141]
  [168 162 146]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [156 153 138]
  [156 150 136]
  [160 154 138]]

 [[188 198 199]
  [187 197 198]
  [188 198 199]
  ...
  [162 159 144]
  [157 151 137]
  [156 150 134]]], shape=(1280, 720, 3), dtype=uint8)",305.0,359.0,0.5365188,319.0,345.0,0.6271894,289.0,349.0,0.7690109,348.0,353.0,0.7809195,285.0,367.0,0.6379756,399.0,425.0,0.60580754,265.0,434.0,0.7935517,501.0,525.0,0.849627,194.0,532.0,0.8384911,418.0,599.0,0.6411808,220.0,565.0,0.27185693,369.0,657.0,0.79348874,281.0,657.0,0.8267622,375.0,868.0,0.7313906,275.0,862.0,0.859583,385.0,1072.0,0.80744433,270.0,1044.0,0.8477851,0,hip
"hip/tf.Tensor(
[[[238 242 241]
  [238 242 241]
  [238 242 241]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 [[238 242 241]
  [238 242 241]
  [238 242 241]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 [[238 242 241]
  [238 242 241]
  [238 242 241]
  ...
  [255 255 247]
  [255 255 247]
  [255 255 247]]

 ...

 [[188 199 193]
  [187 198 192]
  [187 198 192]
  ...
  [158 151 141]
  [167 158 149]
  [173 163 154]]

 [[188 199 193]
  [187 198 192]
  [187 198 192]
  ...
  [159 152 144]
  [159 150 141]
  [162 153 144]]

 [[188 199 193]
  [187 198 192]
  [187 198 192]
  ...
  [164 157 149]
  [156 147 138]
  [156 147 138]]], shape=(1280, 720, 3), dtype=uint8)",361.0,337.0,0.6046469,367.0,317.0,0.5417888,340.0,316.0,0.50073636,358.0,326.0,0.5177046,299.0,325.0,0.5728864,407.0,428.0,0.8353034,236.0,411.0,0.8266989,444.0,539.0,0.34062195,137.0,511.0,0.75017405,396.0,596.0,0.60418475,240.0,587.0,0.68737537,375.0,656.0,0.846336,287.0,648.0,0.84430796,364.0,870.0,0.6099037,270.0,884.0,0.78873503,369.0,1063.0,0.785584,254.0,1119.0,0.86197805,0,hip
